GeneName	pvalue	Le-IR	Ob-IR	Ob-Le	LE	OB	IR	padj	sigCluster
PLIN2|NR_038064+NM_001122	PLIN2	0.0322555249522034	0.0166203827132119	0.37650537005963	0.0287240505381217	7.56534145632487	8.2370833710301	8.71152966975295	0.538279977696779	le_dn
HK2|NM_000189	HK2	0.0355110242692975	0.736827723767192	0.0409978523709687	0.0409978523709687	5.67061826678505	4.53449396936756	5.3510466658257	0.538279977696779	ob_dn
SAA2|NM_001127380	SAA2	0.0355110242692975	0.0224534958207828	0.511049308437796	0.0273319015806458	2.31182712537501	4.834911737231	5.46553564577929	0.538279977696779	le_dn
RAB7B|NM_001164522+NM_177403	RAB7B	0.0355110242692975	0.0224534958207828	0.511049308437796	0.0273319015806458	3.88552552849344	4.71120948385686	4.94197071575699	0.538279977696779	le_dn
LRRC34|NM_001172779+NM_153353+NM_001172780	LRRC34	0.0355110242692975	0.0486809822243824	0.511049308437796	0.0176537716738309	2.26646177021056	3.16738235363934	2.98152716920695	0.538279977696779	le_dn
VLDLR-AS1|NR_015375	VLDLR-AS1	0.0355110242692975	0.0486809822243824	0.511049308437796	0.0176537716738309	3.59158658294917	5.48565945040514	4.90095690536439	0.538279977696779	le_dn
HENMT1|NM_001102592+NM_144584	HENMT1	0.0380356740356978	0.0424199227601303	0.663311197917845	0.0218103866757179	2.94689253048667	3.75945332698532	3.68947004798825	0.538279977696779	le_dn
RPL22|NM_000983	RPL22	0.0380356740356978	0.0292356447191374	0.0388292872693995	0.38884697793371	4.80211005804772	4.80290904199293	4.11875674767356	0.538279977696779	ir_dn
TMEM138|NM_016464+NR_028473	TMEM138	0.0380356740356978	0.0292356447191374	0.663311197917845	0.0292356447191374	5.18359289467499	5.89683674430852	5.97662815111952	0.538279977696779	le_dn
CEBPB|NM_005194+NM_001285878+NM_001285879	CEBPB	0.0380356740356978	0.0292356447191374	0.0388292872693995	0.38884697793371	4.37812144800195	4.16050973058531	3.40015970583396	0.538279977696779	ir_dn
ID2|NM_002166	ID2	0.0380356740356978	0.0292356447191374	0.663311197917845	0.0292356447191374	4.79128130019821	5.98664196090137	6.04807741940377	0.538279977696779	le_dn
GPLD1|NM_001503	GPLD1	0.0396358218272068	0.0361931454682961	0.828322024052479	0.0261000845203148	3.89217972813092	4.65741944724837	4.59167903877472	0.538279977696779	le_dn
FAM198B|NM_001128424+NM_016613+NM_001031700	FAM198B	0.0396358218272068	0.0361931454682961	0.828322024052479	0.0261000845203148	5.0627947381213	6.2135212946677	6.29054257050161	0.538279977696779	le_dn
CSTF2|NM_001325	CSTF2	0.0396358218272068	0.0361931454682961	0.828322024052479	0.0261000845203148	1.97391173449467	3.28922729903202	3.17286080201886	0.538279977696779	le_dn
EFEMP1|NM_001039349+NM_001039348	EFEMP1	0.0396358218272068	0.0344010925869394	0.828322024052479	0.0344010925869394	7.94328148801942	8.85215136858875	8.9851437627491	0.538279977696779	le_dn
DPT|NM_001937	DPT	0.0401840264510736	0.0303586792063011	1	0.0303586792063011	9.65791320132488	10.925997811402	10.9449867309747	0.538279977696779	le_dn
